Name	Portuguese	Semantic	Concepticon	Eol
MACAW	ARARA	ANIMALS	1630	1177964
MAGGOT / LARVA	LARVA	ANIMALS	/_2640	
MAN	HOMEM	KINSHIP	1554	
MANIOC	MADIOCA / MACAXEIRA / AIPIM	AGRICULTURE_AND_VEGETATION	927	1154718
MANY	MUITOS	QUANTITY	1198	
MEDICINE	REMÉDIO	BODY	1372	
MILK	LEITE	FOOD_AND_DRINK	635	
MONKEY	MACACO	ANIMALS	1350	
MOON	LUA	PHYSICAL_WORLD	1313	
MORNING	MANHÃ	TIME	1339	
MOUNTAIN / HILL	MONTANHA / MONTE / MORRO	PHYSICAL_WORLD	639 / 2118	
MOSQUITO	PERNILONGO / MURIÇOCA / CARAPANÃ	ANIMALS	1509	473
MOTHER	MOTHER	KINSHIP	1216	
MOTHER-IN-LAW (of man)	SOGRA (DE HOMEM)	KINSHIP	2257	
MOTHER-IN-LAW (of woman)	SOGRA (DE MULHER)	KINSHIP	2256	
MOLD	MOFO	PHYSICAL_WORLD	3251	
MOUSTACHE	BIGODE	BODY	1165	
MOUTH	BOCA	BODY	674	
NAIL / CLAW	UNHA / GARRA	BODY	2128	
NAME	NOME	SPEECH_AND_LANGUAGE	1405	
NECK	PESCOÇO	BODY	1333	
NEST	NINHO	ANIMALS	539	
NEW	NOVO	TIME	1231	
NIGHT	NOITE	TIME	1233	
NOSE	NARIZ	BODY	1221	
NOW	AGORA	TIME	1376	
OAR	REMO	MOTION	3137	
OLD (ADJ)	VELHO	TIME	1229	
ONE	UM	QUANTITY	1493	
OPEN	ABRIR	SPATIAL_RELATIONS	1156	
OPOSSUM / SKUNK	GAMBÁ	ANIMALS	309	328504
OTHER / SOME	OUTRO / ALGUM	MISCELLANEOUS_FUNCTION_WORDS	197_/1241	
OWL	CORUJA	ANIMALS	735	696
PACA	PACA	ANIMALS	316	326582
PACU FISH	PACU	ANIMALS		215393
PAIN / HURT	DOR / MACHUCADO	EMOTIONS_AND_VALUES	1783 / 2561	
PAN	PANELA	FOOD_AND_DRINK	31	
PAPAYA	MAMÃO	AGRICULTURE_AND_VEGETATION	2445	585682
PARROT	PAPAGAIO	ANIMALS	882	1591
