Language	Concept	Portuguese	Form	Semantic	Concepticon	Cognate	Notes
Xipaya	FLOWER	FLOR	batea	AGRICULTURE AND VEGETATION	239	2	
Xipaya	FLY	VOAR	au	MOTION	1441		
Xipaya	FLY (INSECT)	MOSCA	húru-húru	ANIMALS	1504		
Xipaya	FOOD	COMIDA	bɨtápa	FOOD AND DRINK	256	3	
Xipaya	FOOT	PÉ	bɨdapa	BODY	1301		
Xipaya	FORGET	ESQUECER	kudaã	COGNITION	1523		
Xipaya	FOUR	QUATRO	duadʒuse	QUANTITY	1500		
Xipaya	FROG / TOAD	SAPO	kududu	ANIMALS	503		
Xipaya	FRUIT	FRUTA	ipá ja	FOOD AND DRINK	1507		
Xipaya	FULL	CHEIO	naneu	QUANTITY	1429		
Xipaya	GATHER	(A)JUNTAR / RECOLHER		SPATIAL RELATIONS	7		
Xipaya	GENIPA	JENIPAPO / GENIPA	maʃipa pa	AGRICULTURE AND VEGETATION			
Xipaya	GIRL	MENINA	sidʒa	KINSHIP	1646		
Xipaya	GIVE	DAR	kua	POSSESSION	1447		
Xipaya	GNAT / PIUM	MOSQUITO / PERNILONGO / BORRACHUDO	mapi / mapɨrapɨpɨ	ANIMALS			
Xipaya	GO	IR	ta	MOTION	695		
Xipaya	GO UP	SUBIR		MOTION	705		
Xipaya	GOOD / WELL	BOM / BEM	pã	EMOTIONS AND VALUES	1035		
Xipaya	GRANDFATHER	AVÔ	eámɨ / daja	KINSHIP	1383		daja is Voc.
Xipaya	GRASS	GRAMA		AGRICULTURE AND VEGETATION	606		
Xipaya	GREEN	VERDE	akɨa	SENSE PERCEPTION	1425 / 2382		applied to corn
Xipaya	GROW	CRESCER		SPATIAL RELATIONS	479		
Xipaya	GREEN IGUANA	CAMALEÃO	kãnabare	ANIMALS	1578	1	
Xipaya	GUAN / JACU	JACÚ	tarukawa	ANIMALS	437		
Xipaya	HAIR	CABELO	taba	BODY	2648		
Xipaya	HAMMOCK	REDE	jãbata	HOUSE	2019		
Xipaya	HAND	MÃO	ba	BODY	1277	1	also means 'finger'
Xipaya	HAPPY	FELIZ / CONTENTE	jari	EMOTIONS AND VALUES	1495		
Xipaya	HAWK	GAVIÃO	hiku	ANIMALS	307		
Xipaya	HEAD	CABEÇA	taba	BODY	1256	2	
Xipaya	HEAL	CURAR / SARAR		BODY	499		
Xipaya	HEAR / LISTEN	ESCUTAR / OUVIR	edú	SENSE PERCEPTION	1408 / 1608		
Xipaya	HEART	CORAÇÃO	akáma	BODY	1223		
Xipaya	HEAVY	PESADO	padetu	SENSE PERCEPTION	1210		
Xipaya	HEDGEHOG	OURIÇO / PORCO-ESPINHO	uĩ	ANIMALS	1797	2	
Xipaya	HELP	AJUDAR		SOCIAL AND POLITICAL RELATIONS	1897		
Xipaya	HEN / CHICKEN	GALINHA	takarija	ANIMALS	1318		
Xipaya	HERE	AQUI	asi	MISCELLANEOUS FUNCTION WORDS	136		
Xipaya	HIDE	ESCONDER	jawita	SPATIAL RELATIONS	2486		
Xipaya	HIT	BATER	dʒidaku	BASIC ACTIONS AND TECHNOLOGY	1433		
Xipaya	HOLE	BURACO	karahu	SPATIAL RELATIONS	1667		
Xipaya	HONEY	MEL	wɨa	FOOD AND DRINK	942		
Xipaya	HORN	CHIFRE	aʃã	BODY	1393		
Xipaya	HOT	QUENTE	kúhu	SENSE PERCEPTION	1286	1	
Xipaya	HOUSE	CASA	aka	HOUSE	1252		
Xipaya	HOWLER MONKEY	(MACACO) BUGIO / GUARIBA	wara	ANIMALS	433		
Xipaya	HUMMINGBIRD	BEIJA-FLOR / COLIBRI	jãkuriʃi	ANIMALS	1589	4	
Xipaya	HUNT	CAÇAR	kaʔa dʒu ze ta (go in the forest)	WARFARE AND HUNTING	1435		
Xipaya	HUSBAND	MARIDO	ména	KINSHIP	1200	1	
Xipaya	I	EU	una	MISCELLANEOUS FUNCTION WORD	1209	2	
Xipaya	INGA	INGÁ	hure				
Xipaya	INSIDE	DENTRO (DE)			1606		
Xipaya	JACARÉ / CAIMAN / CROCODILE	JACARÉ	jakare	ANIMALS	1857	1	
Xipaya	JAGUAR	ONÇA	apɨ	ANIMALS	1250	6	
Xipaya	JUMP		pɨrɨku	MOTION	1829	1	
Xipaya	KILL	MATAR	abaku	BODY	1417		
Xipaya	KING FISHER	GUARDA-RIOS / MARTIM-PESCADOR		ANIMALS			
Xipaya	KNEE	JOELHO	mã	BODY	1371		
Xipaya	KNIFE	FACA	kʷapá	BASIC ACTIONS AND TECHNOLOGY	1352		also means 'stone'
Xipaya	KNOW	SABER	bahu	COGNITION	3626		
Xipaya	LAKE	LAGO / LAGOA	ja bapa	PHYSICAL WORLD	624		
Xipaya	LARGE ANT / BULLET ANT	TOCANDIRA / TUCANDEIRA	ida	ANIMALS			
Xipaya	LARGE MANDI FISH	BAGRE / MANDI / SURUBIM-BAGRE	mãndi	ANIMALS			
Xipaya	LAUGH	RIR	jakáríku	EMOTIONS AND VALUES	1355	5	
Xipaya	LEAF	FOLHA	supa	AGRICULTURE AND VEGETATION	628		
Xipaya	LEARN	APRENDER		COGNITION	504		
Xipaya	LEAVE / GO OUT	SAIR		MOTION	1752		
Xipaya	LEG	PERNA	supá / kiza**	BODY	1297		
Xipaya	LAY (DOWN)	DEITAR(-SE)	máku / ʃikuru	SPATIAL RELATIONS	2071		
Xipaya	LIVER	FÍGADO	bɨa	BODY	1224	1	
Xipaya	LIZARD	LAGARTO / CALANGO	jãkurupa / kũrũmẽʔ	ANIMALS	632		
Xipaya	LONG / TALL	COMPRIDO / LONGO / ALTO	náuhu	PATIALRELATIONS	1203 / 2143		
Xipaya	LOOK AT	OLHAR		SENSE  AND PERCEPTION	1819		
Xipaya	GETLOST / LOOSEONES	PERDER-SE		SENSE AND PERCEPTION	423		
Xipaya	LOUSE	PIOLHO	kɨpa	ANIMALS	1392	1	
Xipaya	MACAW	ARARA	arawɨ	ANIMALS	1630	7	
Xipaya	MAGGOT / LARVA	LARVA		ANIMALS	/ 2640		
Xipaya	MAN	HOMEM	senapɨ	KINSHIP	1554	9	
Xipaya	MANIOC	MADIOCA	majaka	AGRICULTURE AND VEGETATION	927	1	
Xipaya	MANY	MUITOS	túbɨ	QUANTITY	1198		
Xipaya	MEDICINE	REMÉDIO	wapa	BODY	1372		
Xipaya	MILK	LEITE		FOOD AND DRINK	635		
